Year	Haliporoides triarthrus	Aristaeomorpha foleacea	Metanephrosis mozambicus 	Palinurus delagoae 
1980	1324.3	202.54	0.1	0.1
1981	1041.25	159.25	0.1	0.1
1982	1112.65	170.17	0.1	0.1
1983	1557.55	238.94	0.1	0.1
1984	1756	264.68	0.1	0.1
1985	2388.1	370.89	0.1	0.1
1986	2144	330.46	0.1	0.1
1987	2261.15	352.3	0.1	0.1
1988	2577.05	392.47	0.1	0.1
1989	2318.85	353.73	0.1	0.1
1990	2662.65	405.6	0.1	0.1
1991	1997.5	305.5	0.1	0.1
1992	1404.2	214.76	0.1	0.1
1993	1555.5	237.9	0.1	0.1
1994	1689.996692	246.0832035	0.1	0.1
1995	1127.86102	374.7331134	0.1	0.1
1996	1456.780159	150.2769311	0.1	0.1
1997	1034.77172	332.2891	0.1	0.1
1998	1005.965978	664.3005835	0.1	0.1
1999	1065.56266	381.5930628	0.1	0.1
2000	1040.425188	549.0737863	0.1	0.1
2001	1114.529677	388.1850239	0.1	0.1
2002	978.6136681	188.0354105	0.1	0.1
2003	963.6698875	295.1773211	0.1	0.1
2004	819.6555316	95.37690449	0.1	0.1
2005	1291.416406	243.194847	105	0.396
2006	1317.353012	316.7631205	153	8
2007	946.6367984	177.8664532	100	4
2008	985.7997033	325.4329039	120	15
2009	844.2247116	25.3362524	88	49
2010	846.8605917	219.4707056	140	140
2011	1223.759079	127.0034518	123	146
2012	1770.246189	163.2140392	120.8	531.2
2013	1002.16994	323.767877	144.2	195.1
2014	1347.463637	167.4472101	197.8594	268.1319
2015	1196.423123	101.0620607	183	181
2016	1146.853466	643.8745787	146	232
2017	1098.916603	449.395666	108.7557	203.5525
2018	1055.711548	542.1007477	196	145
2019	1128.66408	112.866408	96	123
2020	608.016	427.392	110.2	123.5
